id#,sec,x,y,z,px,py,pz,sqrt(px*px+py*py+pz*pz)
187,3.005000e-07,1.057384e-02,6.533062e-03,-3.352996e-01,9.995232e-01,-2.721525e-04,3.087682e-02,1.000000e+00
188,3.005000e-07,2.902316e-01,1.046346e-03,-1.660725e-01,4.930678e-01,-1.445814e-04,8.699909e-01,1.000000e+00
189,3.005000e-07,-2.609396e-02,7.108936e-03,-3.344007e-01,9.969621e-01,-2.845400e-04,-7.788754e-02,1.000000e+00
190,3.005000e-07,-2.250250e-01,1.254471e-02,-2.481340e-01,7.389079e-01,-3.861920e-04,-6.738063e-01,1.000000e+00
191,3.005000e-07,2.816457e-01,1.333493e-03,-1.806408e-01,5.370775e-01,-1.514626e-04,8.435329e-01,1.000000e+00
192,3.005000e-07,-1.941514e-01,1.160487e-02,-2.731202e-01,8.139932e-01,-3.687689e-04,-5.808742e-01,1.000000e+00
193,3.005000e-07,2.862386e-03,6.998135e-03,-3.353814e-01,9.999590e-01,-2.793260e-04,9.049195e-03,1.000000e+00
194,3.005000e-07,2.374729e-01,2.151621e-03,-2.360666e-01,7.026065e-01,-1.734412e-04,7.115785e-01,9.999999e-01
195,3.005000e-07,3.976552e-02,6.438696e-03,-3.329772e-01,9.927654e-01,-2.667754e-04,1.200699e-01,1.000000e+00
196,3.005000e-07,2.257981e-01,2.576398e-03,-2.471271e-01,7.360496e-01,-1.820959e-04,6.769276e-01,1.000000e+00
197,3.005000e-07,3.095208e-01,2.060304e-04,-1.273286e-01,3.769704e-01,-1.254948e-04,9.262253e-01,1.000000e+00
198,3.005000e-07,6.097080e-02,5.698258e-03,-3.297168e-01,9.829744e-01,-2.535923e-04,1.837422e-01,1.000000e+00
199,3.005000e-07,3.326717e-01,-1.064063e-03,-3.199390e-02,9.214284e-02,-9.182169e-05,9.957458e-01,1.000000e+00
